,ij,Rij (nm),Rij_fit (nm)
67,69.0,6.262199401855469,6.226528505762006
68,70.0,6.310098171234131,6.274879740013973
69,71.0,6.357703685760498,6.322912618148246
70,72.0,6.405001163482666,6.370633676537871
71,73.0,6.451923847198486,6.4180492287080435
72,74.0,6.498582363128662,6.465165375873618
73,75.0,6.544948577880859,6.511988016843033
74,76.0,6.591118812561035,6.558522857334737
75,77.0,6.637136459350586,6.6047754187481615
76,78.0,6.683005332946777,6.6507510464278585
77,79.0,6.728715896606445,6.696454917456181
78,80.0,6.774214744567871,6.741892048007027
79,81.0,6.819519996643066,6.787067300290513
80,82.0,6.864658832550049,6.831985389116122
81,83.0,6.909651279449463,6.876650888099644
82,84.0,6.954522132873535,6.921068235537293
83,85.0,6.999244689941406,6.96524173996861
84,86.0,7.043763637542725,7.009175585448071
85,87.0,7.088109016418457,7.05287383654387
86,88.0,7.132234573364258,7.096340443080963
87,89.0,7.1761369705200195,7.139579244644197
88,90.0,7.219857215881348,7.182593974856233
89,91.0,7.263258457183838,7.225388265443869
90,92.0,7.306511402130127,7.2679656501054595
91,93.0,7.349628925323486,7.310329568191202
92,94.0,7.392484188079834,7.352483368207252
93,95.0,7.435312747955322,7.39443031115389
94,96.0,7.477906703948975,7.436173573707245
95,97.0,7.520451545715332,7.477716251253481
96,98.0,7.562810897827148,7.519061360783699
97,99.0,7.604933261871338,7.560211843657336
98,100.0,7.646794319152832,7.601170568241283
99,101.0,7.688291549682617,7.641940332431494
100,102.0,7.729488849639893,7.682523866063432
101,103.0,7.770467758178711,7.7229238332173
102,104.0,7.81130838394165,7.763142834423601
103,105.0,7.851922988891602,7.8031834087742835
104,106.0,7.892431259155273,7.84304803594434
105,107.0,7.932668209075928,7.882739138128499
106,108.0,7.97274923324585,7.922259081897293
107,109.0,8.012587547302246,7.961610179976621
108,110.0,8.05221939086914,8.000794692954583
109,111.0,8.091480255126953,8.039814830919235
110,112.0,8.130487442016602,8.07867275503062
111,113.0,8.169118881225586,8.117370579030306
112,114.0,8.207404136657715,8.155910370691402
113,115.0,8.24526596069336,8.194294153211969
114,116.0,8.2827730178833,8.23252390655443
115,117.0,8.319902420043945,8.270601568733571
116,118.0,8.356609344482422,8.30852903705551
117,119.0,8.39303970336914,8.346308169309898
118,120.0,8.42912483215332,8.383940784917506
119,121.0,8.464924812316895,8.421428666035201
120,122.0,8.50039005279541,8.458773558620264
121,123.0,8.535527229309082,8.495977173455843
122,124.0,8.57041072845459,8.53304118713927
123,125.0,8.604890823364258,8.569967243034874
124,126.0,8.638949394226074,8.606756952192848
125,127.0,8.67276382446289,8.643411894235625
126,128.0,8.706134796142578,8.679933618213164
127,129.0,8.739155769348145,8.716323643428483
128,130.0,8.771622657775879,8.752583460234662
129,131.0,8.803942680358887,8.788714530804564
130,132.0,8.835952758789062,8.82471828987435
131,133.0,8.867877006530762,8.860596145461935
132,134.0,8.89918327331543,8.89634947956135
133,135.0,8.930119514465332,8.931979648814032
134,136.0,8.960408210754395,8.967487985157975
135,137.0,8.990274429321289,9.00287579645558
136,138.0,9.019533157348633,9.038144367101136
137,139.0,9.04840087890625,9.073294958608644
138,140.0,9.076529502868652,9.108328810180836
139,141.0,9.103936195373535,9.143247139260064
140,142.0,9.130579948425293,9.178051142061788
141,143.0,9.156471252441406,9.212741994091333
142,144.0,9.18200969696045,9.247320850644533
143,145.0,9.207125663757324,9.281788847292898
144,146.0,9.231897354125977,9.316147100353865
145,147.0,9.256624221801758,9.350396707346697
146,148.0,9.2811918258667,9.38453874743457
147,149.0,9.305962562561035,9.418574281853353
148,150.0,9.330217361450195,9.452504354327546
149,151.0,9.354803085327148,9.486329991473893
150,152.0,9.378740310668945,9.520052203193062
151,153.0,9.402702331542969,9.553671983049854
152,154.0,9.426623344421387,9.587190308642333
153,155.0,9.450892448425293,9.620608141960282
154,156.0,9.475553512573242,9.653926429733348
155,157.0,9.499465942382812,9.68714610376925
