kappa,FCR,rg,Prediction
0.289080098,0.7,22.86827326,Alta
0.265137345,0.28,26.54080391,Alta
0.274809986,0.84,27.78225422,Alta
0.274168596,0.83,27.06353664,Alta
0.271627203,0.33,28.60206604,Alta
0.284620151,0.43,25.62701941,Alta
0.284156427,0.34,24.2129755,Alta
0.268055663,0.57,32.00796843,Alta
0.27811034,0.87,22.15235233,Baja
0.295718342,0.9,27.17632294,Baja
0.274172217,0.62,23.64339828,Alta
0.302330658,0.82,26.01283073,Alta
0.26873973,0.64,27.37197399,Alta
0.282011062,0.69,24.63514328,Alta
0.275148258,0.84,29.71803188,Alta
0.299884558,0.69,28.72149706,Alta
0.281253725,0.48,30.21339417,Alta
0.289843693,0.81,23.78257751,Alta
0.296055198,0.65,26.02381706,Alta
0.277469397,0.68,25.43183565,Alta
0.288167387,0.43,26.51115894,Alta
0.290021375,0.7,28.9081049,Alta
0.28080833,0.64,26.91482544,Alta
0.300919116,0.49,27.31786728,Alta
0.296618938,0.83,22.04502583,Alta
0.297864005,0.5,30.23489475,Alta
0.300104037,0.73,27.83971786,Alta
0.305777594,0.42,32.23870277,Alta
0.313237026,0.48,29.39247608,Alta
0.308633953,0.76,21.85715914,Alta
0.296654627,0.41,33.21497202,Alta
0.303588837,0.34,27.81524658,Alta
0.307380289,0.97,21.66335344,Baja
0.312599808,0.69,27.1766305,Alta
0.306803569,0.94,20.37087679,Baja
0.300831199,0.25,29.34610367,Alta
0.322977543,0.94,23.31763029,Baja
0.30100064,0.77,25.34334183,Alta
0.296392843,0.43,29.38206196,Alta
0.329798743,0.91,21.77033901,Baja
0.313490704,0.39,29.22738075,Alta
0.306992754,0.94,25.90315819,Baja
0.319746062,0.29,27.87862778,Alta
0.306383818,0.4,28.03253651,Alta
0.302564308,0.31,28.57457161,Alta
0.340087026,0.58,26.03722811,Alta
0.30617553,0.55,28.48444462,Alta
0.324614286,0.82,26.93111181,Alta
0.312459469,0.51,27.47832537,Alta
0.32598573,0.26,27.02238083,Alta
0.311750755,0.84,21.33295059,Baja
0.316634253,0.69,31.33311987,Alta
0.337095678,0.81,23.15233231,Baja
0.347868383,0.92,20.95116377,Baja
0.348792851,0.68,24.7286272,Alta
0.340774164,0.76,25.37754536,Alta
0.337315574,0.76,23.29698086,Alta
0.328129262,0.67,25.53215981,Alta
0.321146086,0.98,21.15651608,Baja
0.336928457,0.22,28.53630543,Alta
0.343135044,0.52,25.26821613,Alta
0.349372417,0.65,24.52782154,Alta
0.339921787,0.93,22.3038578,Baja
0.357188225,0.9,22.03347683,Baja
0.325066239,0.31,33.18709373,Alta
0.35620755,0.41,25.00738621,Alta
0.34596318,0.78,22.57654667,Alta
0.323401675,0.89,25.08020639,Baja
0.345941395,0.49,26.76362276,Alta
0.326365456,0.35,26.04470253,Alta
0.330020189,0.91,25.43096781,Baja
0.351295963,0.33,26.40075684,Alta
0.350483507,0.23,26.9086647,Alta
0.339398801,0.83,23.10380936,Baja
0.367841348,0.91,26.26770973,Baja
0.33995527,0.64,29.94818687,Alta
0.345709473,0.47,27.60540009,Alta
0.335915983,0.87,21.46971941,Baja
0.350626677,0.5,26.35705471,Alta
0.354682714,0.67,21.78665161,Baja
0.357664302,0.5,23.16659212,Alta
0.339055315,0.53,23.84770393,Alta
0.344439715,0.54,28.52766991,Alta
0.342707574,0.27,28.25191259,Alta
0.363324821,0.76,22.19722033,Baja
0.34127894,0.92,29.14365292,Baja
0.364287198,0.67,21.79537058,Baja
0.349300161,0.79,25.09045839,Alta
0.355565146,0.88,23.5229826,Baja
0.352121606,0.63,27.3627615,Alta
0.38176994,0.62,20.98418713,Baja
0.37363708,0.55,29.97739553,Alta
0.350674897,0.48,32.48671055,Alta
0.357000455,0.67,22.80092716,Alta
0.368620068,0.84,21.21772289,Baja
0.352318347,0.51,25.31919241,Alta
0.371285841,0.94,21.24578953,Baja
0.358721972,0.42,29.07670021,Alta
0.384570837,0.99,23.50558281,Baja
0.37672323,0.41,25.50542355,Alta
0.367864475,0.71,21.35029078,Baja
0.357343823,0.26,28.20832014,Alta
0.362167731,0.38,32.19388247,Alta
0.372308925,0.55,22.82488823,Baja
0.385533944,0.67,23.90450478,Alta
0.388243347,0.58,22.68024683,Baja
0.389106616,0.66,32.18332291,Alta
0.390991583,0.36,25.28409004,Alta
0.389973,0.55,21.25475407,Baja
0.396460965,0.67,22.00957775,Baja
0.366941109,0.36,26.22285843,Alta
0.402144387,0.88,22.67210245,Baja
0.375850961,0.23,28.46482992,Alta
0.370795876,0.57,22.27804899,Baja
0.376321405,0.57,23.7944293,Alta
0.404560581,0.35,26.33403778,Alta
0.410403237,0.68,20.54542542,Baja
0.412260801,0.39,27.46799469,Alta
0.390764609,0.39,24.1022706,Alta
0.410302013,0.94,22.58988619,Baja
0.393127233,0.32,27.14931488,Alta
0.396457732,0.67,27.99134016,Alta
0.3895199,0.99,19.92728949,Baja
0.380594388,0.69,29.04971838,Alta
0.417900622,0.33,26.63003206,Alta
0.405122072,0.28,27.5633502,Alta
0.409729376,0.94,23.22963953,Baja
0.398694754,0.23,26.56973839,Alta
0.39299278,0.42,22.76591301,Baja
0.387015089,0.89,20.77503443,Baja
0.420021057,0.94,22.58671761,Baja
0.41545102,0.69,23.04719925,Baja
0.393837243,0.38,29.08421993,Alta
0.391184568,0.29,25.89554548,Alta
0.391531184,0.94,22.74224758,Baja
0.40643087,0.43,23.63780022,Alta
0.425954089,0.53,28.43888283,Alta
0.393126026,0.72,21.2858057,Baja
0.426482022,0.77,21.60969019,Baja
0.41220355,0.73,25.10967731,Baja
0.406478286,0.83,20.93888998,Baja
0.408823013,0.94,21.37612104,Baja
0.435924426,0.49,24.13287163,Alta
0.41741845,0.37,24.747715,Alta
0.420872867,0.92,24.95990753,Baja
0.402388677,0.68,23.46309423,Baja
0.410435498,0.29,28.23686123,Alta
0.431770548,0.38,21.14060402,Baja
0.41811192,0.34,26.74238682,Alta
0.41030331,0.7,21.08761311,Baja
0.425255865,0.36,28.8749218,Alta
0.411996901,0.91,19.53645945,Baja
0.418288708,0.37,25.13153553,Alta
0.409599006,0.34,29.28814888,Alta
0.425600931,0.23,27.79759645,Alta
0.422582611,0.38,25.53490877,Alta
0.447525457,0.29,25.01652241,Alta
0.443771794,0.82,21.09695673,Baja
0.4262629,0.56,22.26703882,Baja
0.445985585,0.56,23.1087923,Baja
0.44678174,0.88,20.96230745,Baja
0.428643748,0.8,23.04707766,Baja
0.443777263,0.66,21.63994789,Baja
0.438955069,0.31,28.02843571,Alta
0.428313583,0.39,29.71674442,Alta
0.4425143,0.88,21.59888983,Baja
0.427295372,0.65,21.97123051,Baja
0.445700765,0.79,21.43474817,Baja
0.435195237,0.93,21.54013634,Baja
0.445776567,0.44,28.31330538,Alta
0.457232744,0.69,20.40900469,Baja
0.428101838,0.46,30.27876377,Alta
0.436701402,0.45,25.39028168,Alta
0.439425886,0.74,27.27018833,Baja
0.437685296,0.69,26.46015167,Baja
0.454373226,0.54,24.95999098,Alta
0.454606175,0.24,25.28087139,Alta
0.451947242,0.53,24.03068066,Baja
0.45996885,0.79,21.80855274,Baja
0.442461297,0.91,22.45204926,Baja
0.449791685,0.36,23.29115391,Alta
0.469308689,0.96,21.86741352,Baja
0.475214511,0.24,26.28663063,Alta
0.444074497,0.34,25.92169762,Alta
0.449439719,0.77,20.16997576,Baja
0.444083005,0.43,22.42879391,Baja
0.443097502,0.94,20.76771975,Baja
0.45652999,0.68,20.11312723,Baja
0.459648088,0.24,28.58071566,Alta
0.452976808,0.7,26.26280785,Baja
0.461818337,0.48,28.23117495,Alta
0.458695889,0.63,22.56645679,Baja
0.468975529,0.98,20.4151082,Baja
0.486944497,0.45,22.5257206,Baja
0.454620704,0.83,20.93231916,Baja
0.456048518,0.83,22.75013924,Baja
0.473480791,0.56,21.4743185,Baja
0.460682809,0.24,26.79977417,Alta
0.477342978,0.5,23.61551523,Baja
0.472229511,0.59,22.82781839,Baja
0.458934963,0.72,20.09791136,Baja
0.492589429,0.77,20.60741186,Baja
0.492361426,0.22,25.88044405,Alta
0.477940813,0.5,21.53286934,Baja
0.473388731,0.58,26.82745457,Alta
0.475374818,0.47,25.84545135,Alta
0.475130334,0.27,27.06054926,Alta
0.474875838,0.68,24.25522327,Baja
0.493916154,0.51,20.81252575,Baja
0.503659293,0.91,21.24947071,Baja
0.473037571,0.22,25.51707268,Alta
0.475508705,0.33,24.4366169,Alta
0.48935768,0.66,20.76405287,Baja
0.477741256,0.7,22.78487682,Baja
0.475079462,0.69,19.81668472,Baja
0.476814702,0.74,20.45914173,Baja
0.473778546,0.43,23.47397327,Baja
0.503160551,0.83,22.28335619,Baja
0.50343962,0.57,24.88183498,Baja
0.492962658,0.47,22.79613972,Baja
0.486885473,0.36,22.57161856,Baja
0.482559562,0.35,21.53520584,Baja
0.509203494,0.53,23.09585094,Baja
0.4941843,0.39,23.72407436,Baja
0.49391371,0.28,27.2949791,Alta
0.509542733,0.45,23.1086278,Baja
0.484579325,0.25,25.01871824,Alta
0.517781913,0.81,23.55676174,Baja
0.502091736,0.31,26.10490322,Alta
0.521783084,0.99,21.25177383,Baja
0.489462778,0.69,22.55323172,Baja
0.491920888,0.21,27.66876936,Alta
0.496680707,0.78,20.13171196,Baja
0.50233525,0.38,27.12682247,Alta
0.501420274,0.93,20.02635956,Baja
0.498810679,0.62,21.24236107,Baja
0.503350824,0.3,26.02778196,Alta
0.517711282,1,19.27307963,Baja
0.508854941,0.53,21.38918161,Baja
0.496086285,0.6,26.75777674,Baja
0.504904866,0.36,21.40334368,Baja
0.527812362,0.51,21.02587223,Baja
0.512589365,0.52,20.95057011,Baja
0.527456194,0.91,19.44822907,Baja
0.520842969,0.66,22.80444145,Baja
0.505516559,0.94,21.87614202,Baja
0.53591004,0.94,19.48484898,Baja
0.504681781,0.71,20.24708271,Baja
0.506681338,0.91,20.58444738,Baja
0.536139876,0.78,22.96841383,Baja
0.511309028,0.49,25.59393883,Alta
0.543106526,0.39,23.10665131,Baja
0.529685557,0.76,20.80069542,Baja
0.52204439,0.47,28.5892868,Alta
0.518252373,0.58,21.68212175,Baja
0.515395701,0.21,26.8328619,Alta
0.534138262,0.78,23.24699402,Baja
0.514792293,0.57,25.54537058,Baja
0.548941463,0.45,21.63967609,Baja
0.539041311,0.2,24.94684458,Alta
0.519084305,0.44,20.58347225,Baja
0.52700609,0.58,20.68715334,Baja
0.52732271,0.74,19.73430157,Baja
0.543447942,0.93,19.50449228,Baja
0.542294979,0.83,20.6695962,Baja
0.558355272,0.96,19.33238029,Baja
0.539356023,0.37,22.26685762,Baja
0.535840183,0.67,21.27186537,Baja
0.532147408,0.73,21.08349562,Baja
0.549987376,0.82,19.57665443,Baja
0.539705843,0.82,20.00413656,Baja
0.543347925,0.5,23.23117256,Baja
0.528474808,0.96,19.74783659,Baja
0.537606508,0.44,27.78822899,Alta
0.533795118,0.61,20.22706985,Baja
0.560146213,0.8,21.74571514,Baja
0.553443074,0.78,21.88855886,Baja
0.533754498,0.27,25.06193876,Alta
0.543576419,0.22,27.01613903,Alta
