Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
170,0.997697056,1.047259589,1.117145,1.195208444,1.305842444,1.369129889,1.306778889
171,0.865390967,0.894095122,0.934935889,0.989114589,1.065293578,1.108627433,1.111932778
172,0.831600256,0.858706844,0.876359544,0.896374244,1.015607211,1.068839,1.0755876
173,0.753215811,0.7924235,0.84271,0.886563622,0.979291244,1.020962011,1.022284944
174,0.657807978,0.686281278,0.774536156,0.816139033,0.933139611,0.939175911,0.945560689
175,0.793309544,0.860860344,0.909582356,0.972876533,1.137396333,1.188148556,1.156331556
176,0.836371456,0.811159156,0.804244444,0.794143689,0.817521144,0.8184231,0.813216989
177,0.7357101,0.786279189,0.871682833,0.965996122,1.085792111,1.194997222,1.291542889
178,0.912099989,0.889741422,0.876722778,0.8650684,0.861602856,0.8515573,0.835389067
179,0.783761233,0.838357489,0.898502222,0.9577799,1.072357311,1.136207333,1.1324303
180,0.665786556,0.676164133,0.763221156,0.933503722,1.040226878,1.094599556,1.154324178
181,0.7927394,0.862679967,0.957384856,1.104719,1.347965778,1.517305778,1.577580111
182,1.014364122,1.055823956,1.155113889,1.227358444,1.383923667,1.401957667,1.467251
183,0.961951333,1.038351378,1.100934778,1.167127889,1.338287444,1.465089222,1.447176889
184,0.8917736,0.959625033,1.0209202,1.157164111,1.374747778,1.566691444,1.699428778
185,0.880830267,0.929681622,0.996040911,1.159986333,1.363539889,1.551221333,1.677778111
186,0.840748744,0.876142233,0.963323989,1.065489444,1.259904333,1.359818778,1.413267778
187,0.801362667,0.836770767,0.953698278,1.113553789,1.218210556,1.255041667,1.260571222
188,0.750794689,0.809287533,0.838692889,0.910054344,1.034930311,1.079489856,1.129591144
189,0.774385156,0.827541922,0.885154011,1.025741678,1.171051367,1.345245556,1.392006889
190,0.843835344,0.908381778,0.993094578,1.140340778,1.408606667,1.491765556,1.433315889
191,0.810626456,0.86747,0.952092689,1.058708622,1.292639111,1.406113222,1.394575111
